implementation,tokens,hidden,dtype,device,latency_us,estimated_bytes,effective_bandwidth_gb_s,max_abs_error,mean_abs_error,relative_l2_error
torch_gemma_native,1,2048,bfloat16,cuda,37.88800165057182,61440,1.6216215509764875,0.0,0.0,0.0
triton_gemma_fused,1,2048,bfloat16,cuda,13.839999679476023,12288,0.8878612922384994,0.0,0.0,0.0
cuda_gemma_fused,1,2048,bfloat16,cuda,7.168000098317862,12288,1.7142856907721955,0.0,0.0,0.0
torch_gemma_native,1,4096,bfloat16,cuda,39.77600112557411,122880,3.089299993030066,0.0,0.0,0.0
triton_gemma_fused,1,4096,bfloat16,cuda,13.535999692976475,24576,1.8156028780609335,0.00390625,9.5367431640625e-07,6.042395034455694e-05
cuda_gemma_fused,1,4096,bfloat16,cuda,6.927999900653958,24576,3.5473441617226618,0.0,0.0,0.0
torch_gemma_native,1,8192,bfloat16,cuda,38.975998759269714,245760,6.3054189199334,0.0,0.0,0.0
triton_gemma_fused,1,8192,bfloat16,cuda,13.311999849975109,49152,3.692307733919626,0.0,0.0,0.0
cuda_gemma_fused,1,8192,bfloat16,cuda,7.168000098317862,49152,6.857142763088782,0.0,0.0,0.0
torch_gemma_native,8,2048,bfloat16,cuda,39.93599861860275,491520,12.307692733418792,0.0,0.0,0.0
triton_gemma_fused,8,2048,bfloat16,cuda,14.14399966597557,98304,6.950226408480304,0.0,0.0,0.0
cuda_gemma_fused,8,2048,bfloat16,cuda,7.344000041484833,98304,13.385620839419902,0.0,0.0,0.0
torch_gemma_native,8,4096,bfloat16,cuda,39.93599861860275,983040,24.615385466837584,0.0,0.0,0.0
triton_gemma_fused,8,4096,bfloat16,cuda,14.159999787807465,196608,13.884745970779623,0.00390625,1.1920928955078125e-07,2.145752114302013e-05
cuda_gemma_fused,8,4096,bfloat16,cuda,7.151999976485968,196608,27.489932976286237,0.0,0.0,0.0
torch_gemma_native,8,8192,bfloat16,cuda,39.93599861860275,1966080,49.23077093367517,0.0,0.0,0.0
triton_gemma_fused,8,8192,bfloat16,cuda,13.536000158637762,393216,29.049645049618004,0.015625,2.980232238769531e-07,6.256400229176506e-05
cuda_gemma_fused,8,8192,bfloat16,cuda,7.168000098317862,393216,54.857142104710256,0.0,0.0,0.0
torch_gemma_native,128,2048,bfloat16,cuda,39.93599861860275,7864320,196.92308373470067,0.0,0.0,0.0
triton_gemma_fused,128,2048,bfloat16,cuda,13.423999771475792,1572864,117.16805920558238,0.00390625,1.4901161193847656e-08,7.585556431877194e-06
cuda_gemma_fused,128,2048,bfloat16,cuda,7.168000098317862,1572864,219.42856841884102,0.0,0.0,0.0
torch_gemma_native,128,4096,bfloat16,cuda,39.93599861860275,15728640,393.84616746940134,0.0,0.0,0.0
triton_gemma_fused,128,4096,bfloat16,cuda,13.311999849975109,3145728,236.30769497085606,0.00390625,1.1175870895385742e-08,5.991852503939299e-06
cuda_gemma_fused,128,4096,bfloat16,cuda,7.168000098317862,3145728,438.85713683768205,0.0078125,2.60770320892334e-08,1.2279643669899087e-05
torch_gemma_native,128,8192,bfloat16,cuda,51.19999870657921,31457280,614.4000155210498,0.0,0.0,0.0
triton_gemma_fused,128,8192,bfloat16,cuda,13.45600001513958,6291456,467.5576689150842,0.0078125,1.909211277961731e-08,1.0042880603577942e-05
cuda_gemma_fused,128,8192,bfloat16,cuda,8.191999979317188,6291456,768.0000019390136,0.0078125,2.7474015951156616e-08,1.3711905921809375e-05
