family,total_time_ns,share_pct,instances,avg_ns
cuBLAS GEMV,4149161560,86.788,58424,71018.1
copy / cast,176649452,3.695,132994,1328.3
norm / reduce,129467248,2.708,102882,1258.4
elementwise,111974317,2.342,122729,912.4
other,76070240,1.591,54788,1388.4
GEMM / cuBLAS / CUTLASS,58065114,1.215,6389,9088.3
Qwen hybrid / state-space,43972340,0.920,9420,4668.0
activation / SwiGLU,19479816,0.407,12285,1585.7
fill,7953803,0.166,10391,765.5
attention,4801523,0.100,3072,1563.0
RoPE,3195355,0.067,3072,1040.2
