family,total_time_ns,share_pct,instances,avg_ns
cuBLAS GEMV,4140302525,92.592,58424,70866.5
GEMM / cuBLAS / CUTLASS,90097450,2.015,31496,2860.6
copy / cast,64518748,1.443,57816,1115.9
other,45701500,1.022,29548,1546.7
Qwen hybrid / state-space,40613652,0.908,9432,4305.9
norm / reduce,33144205,0.741,27648,1198.8
elementwise,21640407,0.484,23124,935.8
activation / SwiGLU,19494984,0.436,12288,1586.5
fill,8028910,0.180,10408,771.4
attention,4807611,0.108,3072,1565.0
RoPE,3201991,0.072,3072,1042.3
