family,total_time_ns,share_pct,instances,avg_ns,name
cuBLAS GEMV,3454192418,77.248,37088,93135.0,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (..."
cuBLAS GEMV,686110107,15.344,21336,32157.4,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (..."
Qwen hybrid / state-space,39495431,0.883,9144,4319.3,fused_recurrent_gated_delta_rule_packed_decode_kernel
GEMM / cuBLAS / CUTLASS,30199144,0.675,24576,1228.8,_gemma_fused_add_rmsnorm_kernel
GEMM / cuBLAS / CUTLASS,21555203,0.482,192,112266.7,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn
copy / cast,20739567,0.464,12776,1623.3,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...
activation / SwiGLU,19494984,0.436,12288,1586.5,"void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &vllm::silu_kernel<c10::BFloat16>, &vllm::packed_silu_kernel<__nv_bfloat162>..."
GEMM / cuBLAS / CUTLASS,19112281,0.427,2808,6806.4,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, F..."
copy / cast,16893689,0.378,12504,1351.1,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::Ten..."
other,15281347,0.342,12288,1243.6,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, flo..."
copy / cast,14902682,0.333,17452,853.9,[CUDA memcpy Device-to-Device]
other,12142915,0.272,9144,1328.0,_causal_conv1d_update_kernel
norm / reduce,11313289,0.253,6144,1841.4,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned in..."
